Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes,receipt_date,approval_date,review_time_days,log_review_time_days,therapeutic_area,classification_confidence,classification_method,review_type_simplified,therapeutic_area_factor,review_type_factor,regulatory_era_factor,review_time_days_response,log_review_time_days_response
Lupron,leuprolide acetate,TAP Pharmaceuticals,NDA,19010,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/28/1983,4/9/1985,1985,palliative treatment of advanced prostatic cancer,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-12-28,1985-04-09,468,6.148468295917647,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Pre-PDUFA,468,6.148468295917647
Seldane,terfenadine,Merrell-Dow,NDA,18949,NA,NA,Tablet,Oral,NA,NA,NA,NA,3/1/1983,5/8/1985,1985,"indicated for the relief of symptoms associated with seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus and lacrimation",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-03-01,1985-05-08,799,6.683360945766275,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,799,6.683360945766275
Ridaura,auranofin,SmithKline & French,NDA,18689,NA,NA,Capsule,Oral,NA,NA,NA,NA,10/5/1981,5/24/1985,1985,"indicated in the management of adults with active, classical, or definite rheumatoid arthritis (ARA criteria) who have had an insufficient therapeutic response to, or are intolerant of, an adequate trial of full doses of one or more nonsteroidal anti-inflammatory drugs",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1981-10-05,1985-05-24,1327,7.190676034332207,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1327,7.190676034332207
Marinol,dronabinol,Unimed,NDA,18651,NA,NA,Capsule,Oral,NA,NA,NA,NA,6/25/1981,5/31/1985,1985,treatment of the nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional anti-emetic treatment,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1981-06-25,1985-05-31,1436,7.269616749608169,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Pre-PDUFA,1436,7.269616749608169
Fortaz,ceftazidime,Glaxo,NDA,50578,NA,NA,Injectable,Injection,NA,NA,NA,NA,5/23/1983,7/19/1985,1985,"treatment of patients with following infections caused by susceptible strains of designated organisms: lower respiratory infections including pneumonia, skin and skin structure infections, urinary tract infections, bacterial septicemia, bone and joint infections, gynecological infections, intra-abdominal infections including peritonitis, central nervous system infections including meningitis",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-05-23,1985-07-19,788,6.669498089857879,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,788,6.669498089857879
Hexabrix,"ioxaglate meglumine, ioxaglate sodium",Mallinckrodt,NDA,18905,NA,NA,Injectable,Injection,NA,NA,NA,NA,11/19/1982,7/26/1985,1985,"indicated for cerebral angiography, peripheral arteriography, selective visceral arteriography and selective coronary arteriography with or without left ventriculography",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-11-19,1985-07-26,980,6.887552571664617,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,980,6.887552571664617
Baros Effervescent,"tartaric acid, sodium bicarbonate",Mallinckrodt,NDA,18509,NA,NA,"Granule, Effervescent",Oral,NA,NA,NA,NA,6/9/1980,8/7/1985,1985,indictated for double-contrast radiographic imaging of the upper gastrointestinal tract,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1980-06-09,1985-08-07,1885,7.541683099882111,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1885,7.541683099882111
Sulcosyn,sulconazole nitrate,Syntex,NDA,18738,NA,NA,Solution,Topical,NA,NA,NA,NA,6/15/1983,8/30/1985,1985,"treatment of tinea cruris tinea corporis caused by Trichophyton mentagrophytes, Epidermophyton floccosum, and Microeporam canis; and for the treatment of tinea versicolor",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-06-15,1985-08-30,807,6.693323668269949,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,807,6.693323668269949
Betoptic,betaxolol hydrochloride,Alcon,NDA,19270,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,5/4/1984,8/30/1985,1985,"indicated in the treatment of patients with chronic open-angle glaucoma, patients with elevated intraocular pressure (ocular hypertensive patients), patients with glaucoma or ocular hypertension who have reactive airway disease, patients with glaucoma or ocular hypertension who are currently on multiple anti-glaucoma therapy",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-05-04,1985-08-30,483,6.180016653652572,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,483,6.180016653652572
Protropin,somatrem,Genentech,NDA,19107,NA,NA,Injectable,Injection,NA,NA,NA,NA,9/1/1983,10/17/1985,1985,long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion,NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-09-01,1985-10-17,777,6.655440350367647,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,777,6.655440350367647
