Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes,receipt_date,approval_date,review_time_days,log_review_time_days,regulatory_era
Lupron,leuprolide acetate,TAP Pharmaceuticals,NDA,19010,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/28/1983,4/9/1985,1985,palliative treatment of advanced prostatic cancer,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-12-28,1985-04-09,468,6.148468295917647,Pre-PDUFA
Seldane,terfenadine,Merrell-Dow,NDA,18949,NA,NA,Tablet,Oral,NA,NA,NA,NA,3/1/1983,5/8/1985,1985,"indicated for the relief of symptoms associated with seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus and lacrimation",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-03-01,1985-05-08,799,6.683360945766275,Pre-PDUFA
Ridaura,auranofin,SmithKline & French,NDA,18689,NA,NA,Capsule,Oral,NA,NA,NA,NA,10/5/1981,5/24/1985,1985,"indicated in the management of adults with active, classical, or definite rheumatoid arthritis (ARA criteria) who have had an insufficient therapeutic response to, or are intolerant of, an adequate trial of full doses of one or more nonsteroidal anti-inflammatory drugs",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1981-10-05,1985-05-24,1327,7.190676034332207,Pre-PDUFA
Marinol,dronabinol,Unimed,NDA,18651,NA,NA,Capsule,Oral,NA,NA,NA,NA,6/25/1981,5/31/1985,1985,treatment of the nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional anti-emetic treatment,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1981-06-25,1985-05-31,1436,7.269616749608169,Pre-PDUFA
Fortaz,ceftazidime,Glaxo,NDA,50578,NA,NA,Injectable,Injection,NA,NA,NA,NA,5/23/1983,7/19/1985,1985,"treatment of patients with following infections caused by susceptible strains of designated organisms: lower respiratory infections including pneumonia, skin and skin structure infections, urinary tract infections, bacterial septicemia, bone and joint infections, gynecological infections, intra-abdominal infections including peritonitis, central nervous system infections including meningitis",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-05-23,1985-07-19,788,6.669498089857879,Pre-PDUFA
Hexabrix,"ioxaglate meglumine, ioxaglate sodium",Mallinckrodt,NDA,18905,NA,NA,Injectable,Injection,NA,NA,NA,NA,11/19/1982,7/26/1985,1985,"indicated for cerebral angiography, peripheral arteriography, selective visceral arteriography and selective coronary arteriography with or without left ventriculography",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-11-19,1985-07-26,980,6.887552571664617,Pre-PDUFA
Baros Effervescent,"tartaric acid, sodium bicarbonate",Mallinckrodt,NDA,18509,NA,NA,"Granule, Effervescent",Oral,NA,NA,NA,NA,6/9/1980,8/7/1985,1985,indictated for double-contrast radiographic imaging of the upper gastrointestinal tract,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1980-06-09,1985-08-07,1885,7.541683099882111,Pre-PDUFA
Sulcosyn,sulconazole nitrate,Syntex,NDA,18738,NA,NA,Solution,Topical,NA,NA,NA,NA,6/15/1983,8/30/1985,1985,"treatment of tinea cruris tinea corporis caused by Trichophyton mentagrophytes, Epidermophyton floccosum, and Microeporam canis; and for the treatment of tinea versicolor",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-06-15,1985-08-30,807,6.693323668269949,Pre-PDUFA
Betoptic,betaxolol hydrochloride,Alcon,NDA,19270,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,5/4/1984,8/30/1985,1985,"indicated in the treatment of patients with chronic open-angle glaucoma, patients with elevated intraocular pressure (ocular hypertensive patients), patients with glaucoma or ocular hypertension who have reactive airway disease, patients with glaucoma or ocular hypertension who are currently on multiple anti-glaucoma therapy",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-05-04,1985-08-30,483,6.180016653652572,Pre-PDUFA
Protropin,somatrem,Genentech,NDA,19107,NA,NA,Injectable,Injection,NA,NA,NA,NA,9/1/1983,10/17/1985,1985,long-term treatment of children who have growth failure due to a lack of adequate endogenous growth hormone secretion,NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-09-01,1985-10-17,777,6.655440350367647,Pre-PDUFA
Moctanin,monooctanoin,Ascot Hospital,NDA,19368,NA,NA,Liquid,"Perfusion, Biliary",NA,NA,NA,NA,9/25/1984,10/29/1985,1985,"indicated as a solubilizing agent for cholesterol (radiolucent) gallstones retained in the biliary tract of patients following cholecystectomy, when other means of reducing cholesterol stones retained in the common bile duct have failed or cannot be undertaken",NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-09-25,1985-10-29,399,5.988961416889864,Pre-PDUFA
Tambocor,flecainide acetate,Riker,NDA,18830,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/21/1982,10/31/1985,1985,"treatment of documented life-threatening ventricular arrhythmias, such as sustained ventricular tachycardia; symptomatic nonsustained ventricular tachycardia and frequent premature ventricular complexes",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-12-21,1985-10-31,1045,6.951772164398911,Pre-PDUFA
Cuprid,trientine hydrochloride,Merck Sharp & Dohme,NDA,19194,NA,NA,Capsule,Oral,NA,NA,NA,NA,1/6/1984,11/8/1985,1985,treatment of patients with Wilson's disease who are intolerant of penicillamine,NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-01-06,1985-11-08,672,6.5102583405231496,Pre-PDUFA
Femstat,butoconazole nitrate,Syntex,NDA,19215,NA,NA,Cream,Vaginal,NA,NA,NA,NA,1/23/1984,11/25/1985,1985,indicated for local treatment of vulvovaginal mycotic infections caused by Candida species,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-01-23,1985-11-25,672,6.5102583405231496,Pre-PDUFA
Primaxin,"cilastatin sodium, imipenem",Merck Sharp & Dohme,NDA,50587,NA,NA,Powder,Intravenous,NA,NA,NA,NA,5/3/1984,11/26/1985,1985,"treatment of patients with the following infections caused by susceptible strains of designated microorganisms in: lower respiratory tract infections, urinary tract infections, intra-abdominal infections, gynecological infections, bacterial septicemia, bone and joint infections, skin and skin structure infections, endocarditis, polymicrobic infections",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-05-03,1985-11-26,572,6.349138991379798,Pre-PDUFA
Betagan,levobunolol hydrochloride,Allergan,NDA,19219,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,1/19/1984,12/19/1985,1985,has been shown to be effective in lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma or ocular hypertension,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-01-19,1985-12-19,700,6.551080335043404,Pre-PDUFA
Versed,midazolam hydrochloride,Hoffmann-La Roche,NDA,18654,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/15/1982,12/20/1985,1985,"intramuscularly: for preoperative sedation and to impair memory of peri-operative events;  intravenously: as an agent for conscious sedation prior to short diagnostic or endoscopic procedures either alone or with a narcotic; intravenously: for induction of general anesthesia, before administration of other anesthetic agents",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-12-15,1985-12-20,1101,7.00397413672268,Pre-PDUFA
